 written on 15Jun2023 at 18:06:43 
   0.0000000000000000        2.7152650000000000        2.7152650000000000     
   2.7152650000000000        0.0000000000000000        2.7152650000000000     
   2.7152650000000000        2.7152650000000000        0.0000000000000000     
           4
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    1    1    0.80451304E-03  0.16092791E-08 
    2    1   -0.43090270E-03 -0.22505901E-08 
    3    1   -0.29850062E-03  0.33998938E-08 
    4    1   -0.43089878E-03  0.67332791E-08 
    1    2   -0.43090632E-03 -0.89535509E-08 
    2    2    0.80451732E-03  0.39687640E-08 
    3    2   -0.29849652E-03  0.12885406E-08 
    4    2   -0.43091377E-03  0.56168704E-08 
    1    3   -0.13727432E-03  0.17830477E-09 
    2    3   -0.13726424E-03  0.56728313E-08 
    3    3    0.53380915E-03  0.65106419E-09 
    4    3   -0.13726180E-03 -0.41114441E-08 
    1    4   -0.43090075E-03  0.27695627E-08 
    2    4   -0.43091084E-03 -0.24100158E-08 
    3    4   -0.29849523E-03 -0.41141943E-08 
    4    4    0.80451507E-03 -0.62301744E-08 

   -4    1    1
    1    1    0.11770379E-02 -0.23882272E-08 
    2    1   -0.25802932E-03 -0.48159134E-08 
    3    1   -0.25801949E-03  0.91392923E-09 
    4    1   -0.53218620E-03  0.62589161E-09 
    1    2   -0.14339494E-03 -0.84471425E-10 
    2    2    0.63351482E-03  0.19209754E-08 
    3    2   -0.29850315E-03 -0.35984167E-08 
    4    2   -0.14339051E-03  0.45535346E-08 
    1    3   -0.14340282E-03  0.45150702E-08 
    2    3   -0.29849484E-03 -0.54568273E-08 
    3    3    0.63351749E-03  0.22602330E-08 
    4    3   -0.14339654E-03 -0.34747569E-08 
    1    4   -0.53218479E-03  0.80872732E-10 
    2    4   -0.25802710E-03  0.45766470E-08 
